Key/String ID,English,Context,Comments,العربيةُ,български език,简体中文,čeština,Dansk,Nederlands,Suomi,Français,Deutsch,Ελληνικά,Magyar,Italiano,日本語,한국어,Norsk,Polski,Português,Português do Brasil,Română,Русский,Español-España,Español-Latinoamérica,Svenska,ไทย,Türkçe,Українська,Tiếng Việt,中文 (繁體)
StockpileEmptyAllTooltip,Empty and lock all stockpile stacks.,,,,,清空并锁定所有储物区物品组。,Vyprázdněte a zamkněte všechny zásobní zásobníky.,,,,Vider et verrouiller toutes les piles de la réserve.,Leere und sperre alle Lager,,,,,모든 공간을 비우고 잠급니다.,,,,,,Опустошить и заблокировать все ячейки хранилища.,Vaciar y bloquear todos los montones de depósitos,,,,,,,
DpsInfo,DPS: {0},,,,,每秒伤害：{0} 点,DPS: {0},,,,Dégâts par seconde : {0},DPS: {0},,,,,초당 피해량: {0},,,,,,Урон в секунду: {0},DPS: {0},,,,,,,
DamageInfo,Damage: {0},,,,,伤害：{0} 点,Poškození: {0},,,,Dégâts : {0},Schaden: {0},,,,,피해량: {0},,,,,,Урон: {0},Daño: {0},,,,,,,
AttacksPerSecond,Attacks Per Sec: {0},,,,,每秒攻击：{0},Útoky za sekundu: {0},,,,Attaques par seconde : {0},Angriffe pro Sekunde: {0},,,,,초당 공격 횟수: {0},,,,,,Атак в секунду: {0},Ataques por segundo: {0},,,,,,,
RangeInfo,Range: {0},,,,,范围：{0},Rozsah: {0},,,,Portée : {0},Reichweite: {0},,,,,사거리: {0},,,,,,Дальность: {0},Alcance: {0},,,,,,,
Events,Events,,,,,事件,Události,,,,Événements,Ereignisse,,,,,이벤트,,,,,,События,Eventos,,,,,,,
Quests,Quests,,,,,任务,Úkoly,,,,Quêtes,Aufgaben,,,,,퀘스트,,,,,,Задания,Misiones,,,,,,,
Tutorial,Tutorials,,,,,,Tutoriály,,,,,Tutorial,,,,,,,,,,,,,,,,,,,
Company,Company,,,,,公司,Společnost,,,,Entreprise,Unternehmen,,,,,회사,,,,,,Команда,Empresa,,,,,,,
Schedules,Schedules,,,,,日程,Rozvrhy,,,,Plannings,Zeitpläne,,,,,일정,,,,,,Расписания,Horarios,,,,,,,
Priorities,Priorities,,,,,优先级,Priority,,,,Priorités,Prioritäten,,,,,우선순위,,,,,,Приоритеты,Prioridades,,,,,,,
CopyPriorities,Copy Priorities,,,,,复制优先级,Kopírovat priority,,,,Copier les priorités,Kopiere Prioritäten,,,,,우선순위 복사,,,,,,Копировать приоритеты,Copiar prioridades,,,,,,,
PastePriorities,Paste Priorities,,,,,粘贴优先级,Vložit priority,,,,Coller les priorités,Füge Prioritäten ein,,,,,우선순위 붙여넣기,,,,,,Вставить приоритеты,Pegar prioridades,,,,,,,
CancelCopyPastePriorities,Cancel Priorities Copy,,,,,取消复制优先级,Zrušit priority Kopírovat,,,,Annuler la copie des priorités,Cancel Prioritäten Kopie,,,,,우선순위 복사 취소,,,,,,Отменить копирование приоритетов,Cancelar copia de prioridades,,,,,,,
HigherPriority,← More Important,,,,,← 更高优先级,← Důležitější,,,,← Priorité plus élevée,← Wichtiger,,,,,← 우선순위 높음,,,,,,← Приоритет выше,← Prioridad alta,,,,,,,
LowerPriority,Less Important →,,,,,更低优先级 →,Méně důležité →,,,,Priorité plus basse →,Unwichtiger →,,,,,우선순위 낮음 →,,,,,,Приоритет ниже →,Prioridad baja →,,,,,,,
NoExperienceExplanation,Dark Background: No Experience,,,,,暗色背景：无经验,Tmavé pozadí: Bez zkušeností,,,,Fond sombre : aucune expérience,Dunkler Hintergrund: Keine Erfahrung,,,,,검은 배경: 경험 없음,,,,,,Тёмный фон: нет опыта,Fondo oscuro: sin experiencia,,,,,,,
ExperiencedExplanation,White Background: Experienced,,,,,白色背景：经验丰富,Bílé pozadí: Zkušený,,,,Fond blanc : expérimenté(e),Heller Hintergrund: Erfahren,,,,,흰 배경: 경험 있음,,,,,,Светлый фон: есть опыт,Fondo blanco: con experiencia,,,,,,,
Forbidden,Forbidden,,,,,已禁止,Zakázáno,,,,Interdit,Verboten,,,,,금지,,,,,,Запрещается,Prohibido,,,,,,,
HighestPriority,Highest Priority,,,,,最高优先级,Nejvyšší priorita,,,,Plus haute priorité,Höchste Priorität,,,,,최고 우선순위,,,,,,Наивысший приоритет,Mayor prioridad,,,,,,,
TalentExplanation,Green Outline: Gifted Skill,,,,,绿色边框：具有天赋,Zelený obrys: Nadaný talent,,,,Contour vert : talent maîtrisé,Grüner Rand: Talentiert,,,,,녹색 외곽선: 재능 있음,,,,,,Зелёная рамка: талант к навыку,Borde verde: con talento,,,,,,,
Messages,Messages,,,,,消息,Zprávy,,,,Messages,Nachrichten,,,,,메시지,,,,,,Сообщения,Mensajes,,,,,,,
Message,Message,,,,,消息,Zpráva,,,,Message,Nachrichten,,,,,메시지,,,,,,Сообщение,Mensaje,,,,,,,
OverviewTab,Overview,,,,,概览,Přehled,,,,Aperçu,Übersicht,,,,,개요,,,,,,Обзор,Resumen,,,,,,,
EventsTab,Events,,,,,事件,Události,,,,Événements,Ereignisse,,,,,이벤트,,,,,,События,Eventos,,,,,,,
NextPioneer,Next >,,,,,下一个 >,Další >,,,,Suivant >,Nächster >,,,,,다음 >,,,,,,След. >,Siguiente >,,,,,,,
PreviousPioneer,< Previous,,,,,< 上一个,« Předchozí,,,,< Précédent,< Vorheriger,,,,,< 이전,,,,,,< Пред.,< Anterior,,,,,,,
PioneerHealth,Health,,,,,生命,Zdraví,,,,Santé,Gesundheit,,,,,체력,,,,,,Здоровье,Salud,,,,,,,
PioneerHealthDescription,"Keep your prospectors healthy, lose it all and they're off to the final frontier",,,,,勘探者的生命值。要时刻留意，一旦降至零，他们就会踏上终极边疆。,"Udržujte své hledače zdravé, ztratíte je všechny a oni se vydají na poslední hranici.",,,,"Faites en sorte que vos prospecteurs soient en bonne santé, ou ils s'envoleront vers d'autres cieux.","Sorge dafür, dass deine Kolonisten gesund bleiben oder sie buchen einen Trip ins Nirvana",,,,,탐사자의 건강에 유의하십시오. 체력이 바닥나면 최후의 개척지로 떠나게 됩니다.,,,,,,"Следите за здоровьем старателей: если оно кончится, то кончится и старатель.",Mantén sanos a tus prospectores para que no se vayan al más allá.,,,,,,,
PioneerEnergy,Rest,,,,,休息,Odpočinek,,,,Repos,Erholung,,,,,휴식,,,,,,Отдых,Descanso,,,,,,,
PioneerEnergyDescription,Prospectors must keep rested to stay productive and avoid costly mistakes,,,,,勘探者需要按时休息才能保证工作效率，避免犯下代价高昂的错误。,"Hledači nerostů se musí udržovat odpočinutí, aby zůstali produktivní a vyhnuli se drahým chybám.",,,,Les prospecteurs doivent être reposés pour rester productifs et éviter des erreurs coûteuses.,Kolonisten müssen erholt sein um produktiv zu bleiben und schwerwiegende Fehler zu vermeiden,,,,,탐사자는 생산성을 유지하고 치명적인 실수를 피할 수 있도록 충분한 휴식을 취해야 합니다.,,,,,,"Чтобы оставаться продуктивными и не допускать дорогостоящих ошибок, старатели должны отдыхать.",Los prospectores han de descansar para ser productivos y no cometer errores graves.,,,,,,,
PioneerLoyalty,Loyalty,,,,,忠诚,Věrnost,,,,Loyauté,Loyalität,,,,,충성도,,,,,,Лояльность,Lealtad,,,,,,,
PioneerLoyaltyDescription,"Kobayashi Schwarz expects complete loyalty from it's employees, keep your prospectors satisfied or face mutiny",,,,,小林-施瓦茨公司要求员工完全忠诚，让您的勘探者过于不满会导致哗变。,"Kobayashi Schwarz očekává od svých zaměstnanců absolutní loajalitu, udržujte své průzkumníky spokojené, nebo čelte vzpouře.",,,,"Kobayashi Schwarz veut des employés loyaux à tout prix. Faites en sorte que vos prospecteurs soient satisfaits, ou ils se mutineront.","Kobayashi Schwarz erwartet bedingungslose Loyalität von seinen Mitarbeitern, sorge dafür, dass Kolonisten zufrieden sind oder bereite dich auf eine Rebellion vor",,,,,코바야시 슈바르츠는 충성심 강한 직원을 원합니다. 탐사자의 만족도를 유지하세요. 그렇지 않으면 반란을 마주하게 될 것입니다.,,,,,,Корпорация «Кобаяси Шварц» требует полной лояльности своих сотрудников. Удовлетворяйте потребности старателей или ждите последствий.,Kobayashi-Schwarz espera lealtad absoluta por parte de sus empleados. Mantén satisfechos a tus prospectores o te enfrentarás a un motín.,,,,,,,
PioneerBathroom,Restroom,,,,,如厕,WC,,,,Toilettes,WC,,,,,화장실,,,,,,Туалет,Aseo,,,,,,,
PioneerBathroomDescription,Prospectors have certain stinky needs. Build bathrooms or prepare to clean up their messes. Gotta Go! Gotta Go Right Now!,,,,,勘探者也有生理需要。记得建造厕所，不然就得自己打扫他们留下的一地狼藉咯。哎呀——快憋不住了，我得先走了！,"Těžebci mají specifické a smradlavé potřeby. Postavte záchody, nebo se připravte uklízet jejich nepořádek. Musím jít! Musím jít hned!",,,,Les prospecteurs ont parfois des besoins pressants. Construisez des toilettes ou préparez-vous à nettoyer derrière eux. Vite ! Ça urge !,Kolonisten müssen manchmal gewisse Geschäfte erledigen. Baue WCs oder mach dich auf eine stinkende Überraschung gefasst,,,,,"탐사자 일부는 냄새나는 욕구를 처리해야 합니다. 화장실을 짓거나 오물을 치울 준비를 하십시오. 자, 일 터지기 전에 서두르세요!",,,,,,У старателей есть некоторые базовые потребности. Постройте им уборную или готовьтесь за ними драить. Естественная нужда зовёт!,Los prospectores tienen algunas necesidades malolientes. Construye baños o prepárate para limpiar porquería. ¡Me tengo que ir pitando!,,,,,,,
PioneerHunger,Hunger,,,,,饥饿,Hlad,,,,Faim,Hunger,,,,,허기,,,,,,Голод,Hambre,,,,,,,
PioneerHungerDescription,"Prospectors must be fed to keep their energy up and keep working. Look to a Mr. Soylent for a delicious, nutritious, protein packed meal!",,,,,勘探者必须得先吃饱，才能保持精力充沛、继续工作。 大豆先生会为大家提供美味、营养、蛋白质丰富的餐点！,"Těžební dělníci musí být krmeni, aby si udrželi energii a mohli pracovat. Podívejte se na pana Soylenta pro chutné, výživné, proteiny nabité jídlo!",,,,Les prospecteurs doivent être nourris pour reprendre des forces et pouvoir travailler.  M. Soylent vous fournira un délicieux repas nutritif et plein de protéines !,Kolonisten müssen Nahrung erhalten um ausreichend Energie zum Arbeiten zu haben. Mr. Soylent versorgt sie mit leckeren und nahhaften Mahlzeiten voller Protein,,,,,탐사자는 음식을 먹어 일할 에너지를 확보해야 합니다. 맛있고 건강하며 단백질이 듬뿍 든 한끼 식사를 제공하는 미스터 소일렌트를 확인하십시오!,,,,,,"Чтобы поддерживать силы и работоспособность старателей, их нужно кормить. Присмотритесь к автомату «Мистер Сойлент» — быстро и питательно!",Los prospectores necesitan alimentarse para tener energía y seguir trabajando. Recurre a don Soylent para disfrutar de una deliciosa y nutritiva comida rica en proteínas.,,,,,,,
PioneerHygiene,Hygiene,,,,,卫生,Hygiena,,,,Hygiène,Hygiene,,,,,위생,,,,,,Гигиена,Higiene,,,,,,,
PioneerHygieneDescription,"Wash your hands, or enjoy being Patient Zero of the next space flu.",,,,,记得勤洗手，不然下一次太空流感的零号病人可能就是你。,"Umyj si ruce, nebo si užij roli pacienta nula další vesmírné chřipky.",,,,Lavez-vous les mains ou vous deviendrez le patient zéro de la prochaine grippe spatiale.,Wasch deine Hände oder werde Patient Zero der nächsten Weltraum-Grippe.,,,,,손을 깨끗이 씻으십시오. 최초의 다음 우주 바이러스 감염자가 되는 영광을 누리셔도 무방합니다.,,,,,,"Не забывайте мыть руки, если не хотите стать нулевым пациентом очередной космической эпидемии.",Lávate las manos si no quieres pasártelo pipa siendo el paciente cero de la siguiente gripe espacial.,,,,,,,
Event,Event,,,,,事件,Událost,,,,Événement,Ereignis,,,,,이벤트,,,,,,Событие,Evento,,,,,,,
Quest,Quest,,,,,任务,Úkol,,,,Quête,Quest,,,,,퀘스트,,,,,,Задание,Misión,,,,,,,
Anyone,Anyone,,,,,任何人,Kdokoli,,,,N'importe qui,Jeder,,,,,지정 인원 없음,,,,,,Кто угодно,Cualquiera,,,,,,,
AllItems,All Items,,,,,全部物品,Všechny položky,,,,Tous les objets,Alle Objekte,,,,,모든 물품,,,,,,Все предметы,Todos los objetos,,,,,,,
HaulTo,Haul To ...,,,,,搬运至……,Tažení do…,,,,Transporter vers...,Trag von hier zu...,,,,,...위치로 운반,,,,,,Перенести в...,Transportar a...,,,,,,,
Anything,Anything,,,,,任意,Cokoli,,,,Toutes,Alles,,,,,자유 행동,,,,,,Любое,Cualquier cosa,,,,,,,
Work,Work,,,,,工作,Práce,,,,Travail,Arbeit,,,,,작업,,,,,,Работа,Trabajo,,,,,,,
Recreation,Recreation,,,,,娱乐,Rekreační,,,,Loisirs,Freizeit,,,,,오락,,,,,,Отдых,Tiempo libre,,,,,,,
Firefight,Firefight,,,,,消防,Střelba,,,,Combat,Feuerwehr,,,,,소방,,,,,,Пожаротуш.,Apagar fuego,,,,,,,
Sleep,Sleep,,,,,睡眠,Spánek,,,,Dormir,Schlafen,,,,,취침,,,,,,Сон,Dormir,,,,,,,
Doctor,Rescue,,,,,援助,Záchrana,,,,Soigner,Arzt,,,,,구조,,,,,,Мед. помощь,Rescatar,,,,,,,
Cook,Cook,,,,,烹饪,Vařit,,,,Cuisine,Kochen,,,,,요리,,,,,,Готовка,Cocina,,,,,,,
Mine,Mine,,,,,采矿,Těžte,,,,Extraction,Schürfe,,,,,채굴,,,,,,Добыча,Extraer,,,,,,,
Terra,Terra,,,,,地形,Země,,,,Terrain,Terra,,,,,테라포밍,,,,,,Рельеф,Terra,,,,,,,
Chop,Cut,,,,,砍伐,Pokácejte,,,,Couper,Fälle,,,,,벌목,,,,,,Рубка,Talar,,,,,,,
Craft,Craft,,,,,制作,Řemeslo,,,,Fabriquer,Herstellen,,,,,제작,,,,,,Проектировка,Fabricar,,,,,,,
Repair,Repair,,,,,修理,Oprava,,,,Réparer,Reparieren,,,,,수리,,,,,,Ремонт,Reparar,,,,,,,
Maintain,Maintain,,,,,维护,Udržovat,,,,Entretenir,Wartung,,,,,정비,,,,,,Обслуживание,Realizar mantenimiento,,,,,,,
Haul,Haul,,,,,搬运,Tah,,,,Transporter,Trage,,,,,운반,,,,,,Перенос,Transportar,,,,,,,
Clean,Clean,,,,,清理,Čistý,,,,Nettoyer,Säubern,,,,,청소,,,,,,Уборка,Limpiar,,,,,,,
Clear,Clear,,,,,清除,Jasný,,,,Rappeler,Widerrufen,,,,,중지,,,,,,Снять,Desestimar,,,,,,,
Cut,Cut,,,,,砍伐,Pokácejte,,,,Couper,Fälle,,,,,절단,,,,,,Рубить,Cortar,,,,,,,
Allow,Allow,,,,,允许,Povolit,,,,Accord,Erlaube,,,,,허용,,,,,,Допуск,Permitir,,,,,,,
Deny,Deny,,,,,拒绝,Zamítnout,,,,Refus,Blocke,,,,,거부,,,,,,Запрет,Prohibir,,,,,,,
Terraform,Level,,,,,整平,Úroveň,,,,Aplanir,Ebne,,,,,평탄화,,,,,,Ровнять,Nivelar,,,,,,,
FirefightExplanation,Putting out fires.,,,,,灭火。,Hasící požáry.,,,,Éteindre des incendies.,Feuer löschen.,,,,,화재를 진압합니다.,,,,,,Ликвидация пожаров.,Extingue incendios.,,,,,,,
DoctorExplanation,Treating to the wounded and carrying incapacitated prospectors to safety.,,,,,救治伤员，把失去行动能力的勘探者转移到安全区域。,Ošetřování raněných a vynášení neschopných prospektorů do bezpečí.,,,,Soigner les blessés et mettre en lieu sûr les prospecteurs rendus invalides.,Verwundete verarzten und kampfunfähige Kolonisten in Sicherheit bringen.,,,,,부상자를 치료하고 행동 불능 상태의 탐사자를 안전한 곳으로 옮깁니다.,,,,,,Оказание помощи раненым и транспортировка старателей без сознания в безопасное место.,Cura a los heridos y lleva a los prospectores incapacitados a un lugar seguro.,,,,,,,
MineExplanation,Mining resources from the ground.,,,,,从地下开采资源。,Těžba surovin z podzemí.,,,,Extraire des ressources du sol.,Resourcen aus dem Boden abbauen.,,,,,땅에서 자원을 채굴합니다.,,,,,,Извлечение ресурсов из-под земли.,Extrae recursos del suelo.,,,,,,,
ChopExplanation,Cutting trees and bushes.,,,,,砍伐树木和灌木。,Kácení stromů a keřů.,,,,Couper des arbres et des buissons.,Bäume fällen und Büsche entfernen.,,,,,나무를 베고 덤불을 자릅니다.,,,,,,Рубка деревьев и кустов.,Corta árboles y arbustos.,,,,,,,
ConstructExplanation,Installing and uninstalling machinery and structures.,,,,,安装/拆卸机器和建筑。,Instalace a odinstalování strojů a konstrukcí.,,,,Installer et désinstaller des machines et des structures.,,,,,,기계 장치와 건물을 설치하거나 철거합니다.,,,,,,Установка и разбор устройств и конструкций.,Instala y retira maquinaria y estructuras.,,,,,,,
CraftExplanation,Crafting items and blueprints at workbenches.,,,,,使用工作台制作物品/蓝图。,Výroba předmětů a plánů na pracovních stolech.,,,,Fabriquer des objets et des plans aux établis.,Gegenstände und Maschinen an Werkbänken herstellen.,,,,,작업대에서 물품과 도면을 제작합니다.,,,,,,Проектирование предметов и чертежей на верстаках.,Fabrica objetos y planos en los puestos de trabajo.,,,,,,,
RepairExplanation,Repairing damaged or broken machinery and structures.,,,,,维修受损或坏掉的机器和建筑。,Opravování poškozených nebo rozbitých strojů a konstrukcí.,,,,Réparer des machines et structures endommagées ou cassées.,Beschädigte Maschinen und Gebäude reparieren.,,,,,손상되거나 망가진 기계 장치와 건물을 수리합니다.,,,,,,Ремонт повреждённых и сломанных устройств и конструкций.,Repara la maquinaria y las estructuras que hayan sufrido daños o se hayan roto.,,,,,,,
MaintainExplanation,Maintaining machinery and hauling the ingredients needed to keep them running.,,,,,维护机器，搬运维持机器运转所需的原料。,Údržba strojů a doprava surovin potřebných k jejich provozu.,,,,Entretenir les machines et transporter les ingrédients nécessaires pour leur fonctionnement.,Maschinen warten und für die Produktion benötigte Materialien herbei tragen.,,,,,기계 장치를 유지보수하고 필요한 재료를 운반해 기계를 작동합니다.,,,,,,"Обслуживание устройств и перенос компонентов, необходимых для их работы.",Conserva en buen estado la maquinaria y transporta los componentes necesarios para garantizar su funcionamiento.,,,,,,,
HaulExplanation,Hauling items from one place to another.,,,,,将物品从一个地点搬运到另一个地点。,Přeprava věcí z jednoho místa na druhé.,,,,Transporter des objets d'un endroit à un autre.,Gegenstände von einem Ort zum Anderen tragen.,,,,,물품을 한 지점에서 다른 지점으로 운반합니다.,,,,,,Перенос предметов из одного места в другое.,Transporta objetos de un lugar a otro.,,,,,,,
Safe,Safe,,,,,安全区,Bezpečný,,,,Sûre,Sicher,,,,,안전,,,,,,Не опасно,Seguro,,,,,,,
Unsafe,Unsafe,,,,,非安全区,Nebezpečný,,,,Danger,Unsicher,,,,,위험,,,,,,Опасно,No seguro,,,,,,,
Botany,Botany,,,,,植物,Botanika,,,,Botanique,Botanik,,,,,식물학,,,,,,Ботаника,Botánica,,,,,,,
Charisma,Charisma,,,,,魅力,Charisma,,,,Charisme,Charisma,,,,,카리스마,,,,,,Харизма,Carisma,,,,,,,
Construction,Construction,,,,,建造,Konstrukce,,,,Construction,Konstruktion,,,,,건설,,,,,,Строительство,Construcción,,,,,,,
Cooking,Cooking,,,,,烹饪,Vaření,,,,Cuisine,Kochen,,,,,요리,,,,,,Готовка,Cocina,,,,,,,
Crafting,Crafting,,,,,制作,Tvorba,,,,Fabrication,Geschick,,,,,제작,,,,,,Проектировка,Artesanía,,,,,,,
Husbandry,Husbandry,,,,,畜牧,Zemědělství,,,,Élevage,Tierhaltung,,,,,농사,,,,,,Земледелие,Ganadería,,,,,,,
Medicine,Medicine,,,,,医药,Lékařství,,,,Médecine,Medizin,,,,,의학,,,,,,Медицина,Medicina,,,,,,,
Melee,Melee,,,,,近战,Blízký boj,,,,Mêlée,Kampf,,,,,근접전,,,,,,Ближний бой,Lucha,,,,,,,
Science,Science,,,,,科学,Věda,,,,Science,Intelligenz,,,,,과학,,,,,,Наука,Ciencia,,,,,,,
Shooting,Shooting,,,,,射击,Střelba,,,,Tir,Schießen,,,,,사격,,,,,,Стрельба,Caza,,,,,,,
Mining,Mining,,,,,采矿,Těžba,,,,Extr. min.,Schürfen,,,,,채굴,,,,,,Добыча,Minería,,,,,,,
WoodCutting,Wood Cutting,,,,,刻木,Řezání dřeva,,,,Déc. bois,Holz fällen,,,,,벌목,,,,,,Рубка леса,Tala,,,,,,,
MineGoapGoal,Mine,,,,,采矿,Těžte,,,,Extraire,Schürfe,,,,,채굴,,,,,,Добывать,Extraer,,,,,,,
RepairGoapGoal,Repair,,,,,修理,Oprava,,,,Réparation,Repariere,,,,,수리,,,,,,Чинить,Reparar,,,,,,,
ExtinguishGoapGoal,Extinguish,,,,,灭火,Uhašte,,,,Éteindre,Lösche,,,,,화재 진화,,,,,,Тушить,Extinguir,,,,,,,
CraftGoapGoal,Craft,,,,,制作,Řemeslo,,,,Fabrication,Herstellen,,,,,제작,,,,,,Проектировать,Fabricar,,,,,,,
FellingGoapGoal,Cut,,,,,砍伐,Pokácejte,,,,Couper,Fälle,,,,,절단,,,,,,Рубить,Cortar,,,,,,,
HaulGoapGoal,Haul,,,,,搬运,Tah,,,,Porter,Trage,,,,,운반,,,,,,Перенести,Transportar,,,,,,,
MoveGoapGoal,Move,,,,,移动,Pohyb,,,,Déplacer,Bewege,,,,,이동,,,,,,Двигаться,Mover,,,,,,,
KillEntityGoapGoal,Kill,,,,,击杀,Zabít,,,,Tuer,Töte,,,,,처치,,,,,,Убить,Matar,,,,,,,
MeleeEntityGoapGoal,Melee,,,,,近战,Boj zblízka,,,,Mêlée,Erschlage,,,,,근접전,,,,,,Ближний бой,Luchar,,,,,,,
RangedEntityGoapGoal,Shoot,,,,,射击,Střílej,,,,Tirer,Schieße,,,,,사격,,,,,,Стрелять,Disparar,,,,,,,
EatGoapGoal,Eat,,,,,进食,Jez,,,,Manger,Esse,,,,,섭취,,,,,,Есть,Comer,,,,,,,
SleepGoapGoal,Sleep,,,,,睡眠,Spánek,,,,Dormir,Schlafe,,,,,취침,,,,,,Спать,Dormir,,,,,,,
DookGoapGoal,Use,,,,,使用,Používat,,,,Utiliser,Benutze,,,,,사용,,,,,,Использовать,Usar,,,,,,,
WashGoapGoal,Wash,,,,,清洁,Umyj,,,,Se laver,Wasche,,,,,씻기,,,,,,Мыться,Lavarse,,,,,,,
HealthRegenGoapGoal,Heal,,,,,治疗,Uzdrav,,,,Soigner,Heile,,,,,치료,,,,,,Лечиться,Curar,,,,,,,
TerraformGoapGoal,Terraform,,,,,改造地形,Terraform,,,,Terraformer,Terraform,,,,,테라포밍,,,,,,Ровнять территорию,Terraformar,,,,,,,
IncreaseBlueprintPriority,Increase Priority,,,,,提高优先级,Zvýšit prioritu,,,,Augmenter la priorité,Erhöhe Priorität,,,,,우선순위 높이기,,,,,,Повысить приоритет,Aumentar prioridad,,,,,,,
DecreaseBlueprintPriority,Decrease Priority,,,,,降低优先级,Snížit prioritu,,,,Baisser la priorité,Reduziere Priorität,,,,,우선순위 낮추기,,,,,,Понизить приоритет,Disminuir prioridad,,,,,,,
CancelBlueprint,Cancel Blueprint,,,,,取消蓝图,Zrušit plán,,,,Annuler le plan,Widerrufe Bauplan,,,,,도면 배치 취소,,,,,,Отозвать чертёж,Cancelar plano,,,,,,,
InDevelopmentInfo,"This feature is still in development and does not have any functionality yet.
However, the interface is operational and available for you to test.
It will be included as part of the Early Access Release.",,,,,"该功能仍在开发中，当前尚不具备任何实际用途。
但界面已可使用，以供测试。
该功能将作为抢先体验版本的一部分发布。",Tato funkce je stále ve vývoji a zatím nemá žádnou funkčnost.  Rozhraní je však funkční a dostupné k testování. Bude součástí předběžného vydání.,,,,"Cette fonctionnalité est encore en développement et ne peut pas être utilisée pour le moment.
Cependant, l'interface est opérationnelle et disponible pour que vous puissiez la tester.
Elle fera partie de l'accès anticipé.","Dieses Feature befindet sich noch in Entwicklung und bietet keine Funktion.
Das Interface ist jedoch steuerbar und du kannst es gerne testen.
Es wird Teil der Early Access-Version sein.",,,,,"이 기능은 아직 개발 중이며, 현재는 어떤 효과도 발생하지 않습니다.
인터페이스 작동 여부를 확인하기 위한 목적으로 활성화되어 있습니다.
이 기능은 앞서 해보기 출시에 맞춰 도입할 예정입니다.",,,,,,"Эта функция всё ещё находится в разработке и в данный момент недоступна.
Однако её интерфейс работает и доступен для тестирования.
Она будет включена в игру в раннем доступе.","Este elemento sigue en desarrollo y aún no tiene ninguna funcionalidad.
Sin embargo, la interfaz está operativa y disponible para que lo pruebes.
Lo incluiremos en la versión de acceso anticipado.",,,,,,,
BlueprintPlacementInvalidTerrain,Blocked by Terrain,,,,,受地形阻挡,Zablokováno terénem,,,,Bloqué par le terrain,Unebener Boden,,,,,지형에 막힘,,,,,,Мешает ландшафт,Bloqueo de terreno,,,,,,,
BlueprintPlacementInvalidObstacle,Blocked by Obstacle,,,,,受障碍阻挡,Zablokováno překážkou,,,,Bloqué par un obstacle,Objekt im Weg,,,,,장애물에 막힘,,,,,,Мешает препятствие,Bloqueo de obstáculo,,,,,,,
Alarm,Alarm,,,,,警报,Alarm,,,,Alarme,Alarm,,,,,경보,,,,,,Тревога,Alarma,,,,,,,
Help,Help,,,,,帮助,Pomoc,,,,Aide,Hilfe,,,,,도움말,,,,,,Помощь,Ayuda,,,,,,,
GameSeed,Seed:,,,,,游戏速度：,Semínko:,,,,Seed de la partie :,Seed:,,,,,게임 시드:,,,,,,Зерно (сид) игры:,Semilla del juego:,,,,,,,
StartNewWorld,Start New Game,,,,,开始新世界,Nová hra,,,,Commencer un nouveau monde,Spiel starten,,,,,새로운 세계 시작,,,,,,Создать новый мир,Empezar nuevo mundo,,,,,,,
PlaceholderGameSeed,Enter Seed...,,,,,输入种子……,Zadejte seed...,,,,Entrer la seed...,Seed eingeben...,,,,,시드 입력...,,,,,,Введите зерно (сид)...,Introducir semilla...,,,,,,,
WorldGenPipeline,World Gen Pipeline:,,,,,世界生成途径：,Generování světa:,,,,Génération du monde :,World Gen Pipeline:,,,,,세계 생성 파이프라인:,,,,,,Процесс генерации мира:,Fuente de generación mundial:,,,,,,,
PremadeWorldGen,Sirius B 3,,,,,预制内容,Sirius B 3,,,,Prédéfini,Sirius B 3,,,,,고정 생성,,,,,,Созданный вручную,Prefabricado,,,,,,,
ProceduralWorldGen,Procedural,,,,,程序生成,Procedurální,,,,Procédural,Prozedural,,,,,절차적 생성,,,,,,Случайный,Procedimental,,,,,,,
GifRecordingStarted,Gif recording started,,,,,已开始 Gif 录制,Nahrávání GIFu zahájeno,,,,Enregistrement d'un gif commencé,Gif Aufnahme gestartet,,,,,Gif 녹화 시작,,,,,,Запись GIF начата.,La grabación de gif ha comenzado,,,,,,,
GifRecordingCompleted,Gif recording completed. Processing...,,,,,已完成 Gif 录制。正在处理……,Nahrávání GIFu dokončeno. Zpracovává se...,,,,Enregistrement d'un gif terminé. Traitement en cours...,Gif Aufnahme beendet. Verarbeite...,,,,,Gif 녹화 완료. 처리 중...,,,,,,Запись GIF завершена. Обработка...,La grabación de gif se ha completado. Procesando...,,,,,,,
GifRecordingProcessed,Gif recording completed,,,,,已完成 Gif 录制,Nahrávání GIFu dokončeno,,,,Enregistrement d'un gif terminé.,Gif Aufnahme abgeschlossen,,,,,Gif 녹화 완료,,,,,,Запись GIF завершена,La grabación de gif se ha completado,,,,,,,
GifRecordingProcessedText,Your clip was saved to:,,,,,您的录制已存储于：,Váš klip byl uložen do:,,,,Votre gif a été sauvegardé à cet emplacement :,Dein Clip wurde gespeichert unter:,,,,,클립 저장 위치:,,,,,,Ваша запись сохранена здесь:,Tu archivo se ha guardado en:,,,,,,,
Settings,Settings,,,,,设置,Nastavení,,,,Paramètres,Einstellungen,,,,,환경설정,,,,,,Настройки,Ajustes,,,,,,,
ChunkPosition,Chunk Pos,,,,,,Pozice úseku,,,,,Chunk Position,,,,,,,,,,,,,,,,,,,
